stage,sublinear_tf,max_df,min_df,ngram_max,tfidf_norm,esa_top_concepts,esa_min_similarity,random_state,actual_concepts,avg_active_concepts,concept_density,precision@10,recall@10,fscore@10,map@10,ndcg@10,mrr@10
vectorizer,True,0.9,1,1,l2,100,0.0,42,100,100.0,0.07142857142857142,0.3035555555555557,0.4283063659878367,0.32854890442866774,0.33430826918640116,0.4763166185108403,0.7298112874779541
vectorizer,True,0.9,1,2,l2,100,0.0,42,100,100.0,0.07142857142857142,0.3066666666666668,0.4360809161411669,0.3338153141194813,0.3408839900735339,0.4953879525600081,0.787994708994709
vectorizer,True,0.9,2,1,l2,100,0.0,42,100,100.0,0.07142857142857142,0.30355555555555547,0.426557621363963,0.32816774271370136,0.3337437986727709,0.47645368676603966,0.7320864197530865
vectorizer,True,0.9,2,2,l2,100,0.0,42,100,100.0,0.07142857142857142,0.3128888888888888,0.44104106965304424,0.33966864990723555,0.34019742375640194,0.48327630967253804,0.7258077601410932
vectorizer,True,0.95,1,1,l2,100,0.0,42,100,100.0,0.07142857142857142,0.3026666666666667,0.4276367331515371,0.32778725450499496,0.3353675415254797,0.4768455845751424,0.7335343915343915
vectorizer,True,0.95,1,2,l2,100,0.0,42,100,100.0,0.07142857142857142,0.30533333333333346,0.43460648933340673,0.3325563248795672,0.3402658206818561,0.4954846097627355,0.788546737213404
vectorizer,True,0.95,2,1,l2,100,0.0,42,100,100.0,0.07142857142857142,0.3062222222222222,0.42810407880515716,0.33017126299315686,0.33363597552582147,0.4766937393895853,0.7316931216931215
vectorizer,True,0.95,2,2,l2,100,0.0,42,100,100.0,0.07142857142857142,0.31288888888888877,0.44081972926503726,0.3396648052864662,0.33902163532615787,0.48172778402960376,0.7233809523809523
vectorizer,True,1.0,1,1,l2,100,0.0,42,100,100.0,0.07142857142857142,0.30088888888888893,0.42687882257990106,0.32616354168657974,0.3328956225161077,0.4752184770679298,0.7353809523809522
vectorizer,True,1.0,1,2,l2,100,0.0,42,100,100.0,0.07142857142857142,0.3044444444444446,0.43115128042992207,0.33068000512089446,0.3397416106531511,0.4946833240650497,0.7896331569664903
vectorizer,True,1.0,2,1,l2,100,0.0,42,100,100.0,0.07142857142857142,0.30355555555555547,0.42671490852125,0.327997969722679,0.3312107705909776,0.4752938160119481,0.7378253968253967
vectorizer,True,1.0,2,2,l2,100,0.0,42,100,100.0,0.07142857142857142,0.3128888888888888,0.44134249662113795,0.33961730594484923,0.3370363398597917,0.48084978380956855,0.7250723104056435
vectorizer,False,0.9,1,1,l2,100,0.0,42,100,100.0,0.07142857142857142,0.2795555555555558,0.392629216702844,0.30179531452775665,0.2868702571807146,0.42787869915125976,0.6761075837742505
vectorizer,False,0.9,1,2,l2,100,0.0,42,100,100.0,0.07142857142857142,0.2902222222222224,0.4076169954205081,0.3136757850370462,0.30434916708255566,0.4507332131813977,0.718989417989418
vectorizer,False,0.9,2,1,l2,100,0.0,42,100,100.0,0.07142857142857142,0.27644444444444466,0.391026677725176,0.2996494730662975,0.2838264045212151,0.4255705692739943,0.6717724867724868
vectorizer,False,0.9,2,2,l2,100,0.0,42,100,100.0,0.07142857142857142,0.2875555555555556,0.4041959103327561,0.3113886182844897,0.2967714971832121,0.4379679639249195,0.6898871252204586
vectorizer,False,0.95,1,1,l2,100,0.0,42,100,100.0,0.07142857142857142,0.28133333333333355,0.395405391145685,0.3040586369256508,0.2834586888799261,0.42658958717532086,0.6690846560846561
vectorizer,False,0.95,1,2,l2,100,0.0,42,100,100.0,0.07142857142857142,0.2911111111111113,0.4102722866568107,0.3150874696081159,0.30311229152799424,0.4492279986469831,0.7151322751322752
vectorizer,False,0.95,2,1,l2,100,0.0,42,100,100.0,0.07142857142857142,0.277777777777778,0.39196240638897495,0.3005569047955252,0.27732370779342896,0.4193894129422963,0.6571763668430334
vectorizer,False,0.95,2,2,l2,100,0.0,42,100,100.0,0.07142857142857142,0.2902222222222223,0.4081597772448988,0.3144960009526567,0.2982566643562202,0.43939057126075853,0.6903985890652556
vectorizer,False,1.0,1,1,l2,100,0.0,42,100,100.0,0.07142857142857142,0.27733333333333354,0.390836679805044,0.30016310352642817,0.2800275349909487,0.4204933263886018,0.6646067019400352
vectorizer,False,1.0,1,2,l2,100,0.0,42,100,100.0,0.07142857142857142,0.2906666666666667,0.4079689356867931,0.3140466553209485,0.30115923210447604,0.447581968952007,0.7115502645502647
vectorizer,False,1.0,2,1,l2,100,0.0,42,100,100.0,0.07142857142857142,0.2755555555555557,0.3889746860483133,0.2983471294239927,0.27377494176149975,0.4151063029547442,0.6533227513227513
vectorizer,False,1.0,2,2,l2,100,0.0,42,100,100.0,0.07142857142857142,0.28755555555555556,0.40498469306981455,0.31190727202439283,0.29358287762347657,0.43514088985037247,0.6889911816578482
concept,True,0.9,1,2,l2,25,0.0,42,25,25.0,0.017857142857142856,0.3133333333333332,0.44557579901142785,0.34125741617509087,0.3431486913628252,0.4979578817772783,0.7653562610229279
concept,True,0.9,1,2,l2,25,0.02,42,25,25.0,0.017857142857142856,0.3133333333333332,0.44557579901142785,0.34125741617509087,0.3431486913628252,0.4979578817772783,0.7653562610229279
concept,True,0.9,1,2,l2,25,0.05,42,25,20.84888888888889,0.014892063492063493,0.30666666666666675,0.4410762707131165,0.3358107939380763,0.3398469583778859,0.49506978816435393,0.7639118165784834
concept,True,0.9,1,2,l2,50,0.0,42,50,50.0,0.03571428571428571,0.3128888888888888,0.4464171711344092,0.340974335617491,0.3430497775356833,0.49818329799379146,0.7700670194003527
concept,True,0.9,1,2,l2,50,0.02,42,50,49.94222222222222,0.03567301587301587,0.3128888888888888,0.4464171711344092,0.340974335617491,0.3430497775356833,0.49818329799379146,0.7700670194003527
concept,True,0.9,1,2,l2,50,0.05,42,50,29.893333333333334,0.021352380952380953,0.3044444444444445,0.43236332147529644,0.3311464315497801,0.33488456736244,0.49082128359803534,0.7685661375661377
concept,True,0.9,1,2,l2,75,0.0,42,75,75.0,0.05357142857142857,0.30800000000000005,0.43525314997038783,0.33449559189437156,0.33857514246791953,0.492874848419432,0.770005291005291
concept,True,0.9,1,2,l2,75,0.02,42,75,74.26222222222222,0.05304444444444444,0.30755555555555564,0.4349112696285075,0.33410911846441993,0.33855194344472056,0.4926357385922308,0.770005291005291
concept,True,0.9,1,2,l2,75,0.05,42,75,32.80888888888889,0.023434920634920635,0.30044444444444457,0.4291743049725543,0.327436939278561,0.3335583600287464,0.48964133112459923,0.7724726631393299
concept,True,0.9,1,2,l2,100,0.0,42,100,100.0,0.07142857142857142,0.3066666666666668,0.4360809161411669,0.3338153141194813,0.3408839900735339,0.4953879525600081,0.787994708994709
concept,True,0.9,1,2,l2,100,0.02,42,100,97.43111111111111,0.06959365079365079,0.3062222222222223,0.43519202725227796,0.3332227215268887,0.34072767178864427,0.4950162180081331,0.7887354497354498
concept,True,0.9,1,2,l2,100,0.05,42,100,33.96888888888889,0.024263492063492063,0.3000000000000001,0.42835315698473964,0.3267370873596339,0.33322217261858245,0.4898149957960394,0.7754867724867724
concept,True,0.9,1,2,l2,150,0.0,42,150,149.97333333333333,0.10712380952380952,0.3035555555555556,0.4287747539063365,0.32949410572120275,0.3330170644325812,0.4901638583238442,0.7792045855379188
concept,True,0.9,1,2,l2,150,0.02,42,150,135.61777777777777,0.09686984126984127,0.3026666666666667,0.4298437194235779,0.329068654629085,0.33340706533965925,0.49041903243668933,0.7791252204585538
concept,True,0.9,1,2,l2,150,0.05,42,150,34.52444444444444,0.02466031746031746,0.2977777777777779,0.4269027000342827,0.324988184410731,0.3315734934494528,0.4869460363881931,0.7722645502645503
concept,True,0.9,1,2,l2,200,0.0,42,200,199.55555555555554,0.14253968253968255,0.3,0.424801515452706,0.32594680369147894,0.33202138888497257,0.4857560979424666,0.7776931216931215
concept,True,0.9,1,2,l2,200,0.02,42,200,162.9777777777778,0.11641269841269841,0.30000000000000004,0.42589522241186256,0.32581518309202206,0.33365716295346176,0.48647154464215986,0.7774144620811286
concept,True,0.9,1,2,l2,200,0.05,42,200,34.52444444444444,0.02466031746031746,0.29822222222222233,0.42724458037616303,0.3253746578406827,0.33156652922026636,0.4870157021375855,0.7723386243386243
