method,precision@10,recall@10,fscore@10,map@10,ndcg@10,mrr@10,runtime_seconds
baseline_tfidf,0.2835555555555557,0.40999451439276363,0.31032959994045994,0.3025772846456973,0.4589211350766685,0.7368377425044094,1.6517531871795654
wordnet_w1,0.25911111111111135,0.3693506136541262,0.28148502680071685,0.26413135779983393,0.4118469718209455,0.6671834215167547,30.637452840805054
wordnet_w2,0.257777777777778,0.36970318700669946,0.28062470934039935,0.2616677651761179,0.41007051168145897,0.6646649029982361,28.78909397125244
wordnet_w3,0.2533333333333336,0.36412189792541033,0.2757784121830598,0.2532140411627595,0.40178327717513196,0.647336860670194,28.792093992233276
wordnet_w4,0.2506666666666669,0.36178473346543893,0.2735589324115855,0.2504125334870229,0.39841796750842723,0.644664902998236,28.766780853271484
wordnet_w5,0.25288888888888916,0.3628854228994617,0.275118845265616,0.2505213368339076,0.39933759933166446,0.6447442680776012,28.802407264709473
wordnet_w6,0.2551111111111114,0.3653648113271259,0.2773004805518331,0.25212428140702187,0.4010413841585036,0.647696649029982,28.926554203033447
wordnet_w8,0.25288888888888916,0.3639752811042624,0.2755835034012034,0.252095655892452,0.4003019509970381,0.6451410934744265,29.010251998901367
wordnet_w10,0.2546666666666669,0.36512291741856523,0.2770390728410244,0.25274468957874946,0.4016589698701735,0.648680776014109,29.736970901489258
wordnet_w12,0.25511111111111134,0.3649377322333801,0.2771803562489745,0.25380484854282914,0.40196894507594855,0.6486490299823631,28.845768213272095
