combination,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10
unigram_tfidf__S=identity,0.17981263262659716,0.2577548777641238,0.30435108101508357,0.3200002377731056,0.32256465773100584,0.32524376234142877,0.3205481501809271,0.3205530636877389,0.31624179614698283,0.30965631901471996
unigram_tfidf__S=tfidf,0.17082158934659616,0.2414836916759443,0.2768801186351525,0.30027090101964926,0.31340524313849577,0.31447838616135637,0.31640943843511155,0.3121092278164519,0.3126991306155669,0.3081046186369452
unigram_tfidf__S=lsa,0.15893164550543282,0.2449503270388479,0.2777386509423852,0.298373192347256,0.31240492774451584,0.31940332235828955,0.3230696773123592,0.3176145058792275,0.3185298965287665,0.3143217977231621
unigram_tfidf__S=esa,0.16915390110023748,0.24802459521684786,0.28468545470954104,0.3108854040944208,0.31871667706052775,0.324561119830097,0.32555286959698965,0.32293528920783243,0.3176374615322893,0.3097816949400532
unigram_tfidf__S=wordnet,0.1548557666893391,0.23065793726933392,0.2727854722421791,0.28375607572497935,0.28614157270716695,0.284804501507262,0.27985795573476757,0.27417540267613816,0.2713839258471049,0.26753892198521173
unigram_tfidf__S=word2vec,0.16080849224990776,0.23627159018880048,0.27574801540737404,0.2933303714650848,0.3084184031503545,0.309685593628482,0.31299982129135306,0.3091479203149159,0.3059829718182423,0.30182811645174235
bigram_tfidf__S=identity,0.17424538849588556,0.25574042577803513,0.296043405400825,0.3118095119497261,0.3121868189565413,0.31750344752307147,0.3161792740789111,0.30659949422197114,0.30089058629334425,0.29475379211719954
bigram_tfidf__S=tfidf,0.15088371695258346,0.2273012440447357,0.2640526262554632,0.2903498271174923,0.2915645207314251,0.29135519285983164,0.29243500283101564,0.28872157783663865,0.28776492925735503,0.2800612748811713
bigram_tfidf__S=lsa,0.13338682087701687,0.2150165737631822,0.2611044768829492,0.2750248674903228,0.28987930059866174,0.2928278440804886,0.2956456844225519,0.29410750211978604,0.2896686722763701,0.2844633445902473
bigram_tfidf__S=esa,0.14830491304044624,0.22917292066151046,0.26994439142499943,0.2875738478473954,0.29475995642366176,0.296175365330473,0.2902124322200216,0.2887727222784264,0.28691020353340724,0.28136957022529346
bigram_tfidf__S=word2vec,0.17588290276085075,0.2523655209493979,0.29181720481415935,0.3159623140148089,0.3276996892609492,0.3293137361666319,0.32464609335799577,0.32042014270116365,0.31685074990758405,0.31263576400824633
local_context_bow__S=identity,0.19544853239486873,0.27764346920173494,0.3211916350579613,0.32796610861612685,0.33659682171226124,0.3376565705509884,0.3361550836062523,0.33258333457431555,0.32909188228002845,0.32365399713048654
local_context_bow__S=tfidf,0.1908699201008093,0.26646038213629497,0.31393828690066966,0.3242257130812323,0.3314783349549716,0.330808640819602,0.3316082835904656,0.33054651094801796,0.3288752304564618,0.3188705218123541
local_context_bow__S=lsa,0.18222895158264776,0.27213113020795515,0.3122361888730597,0.33227722126974635,0.3391274708686384,0.3363766864965899,0.335827359128905,0.33699898607644274,0.3287243220826432,0.32376974425860117
lsa_latent__S=identity,0.20503311130321625,0.28338009791084384,0.32901130198576883,0.34882793333106776,0.3584725958370146,0.36096054844942016,0.3620637622641889,0.3578229149954151,0.35715942047447646,0.3527356222130888
lsa_latent__S=feature_cosine,0.20503311130321625,0.28338009791084384,0.32901130198576883,0.34882793333106776,0.3584725958370146,0.36096054844942016,0.3620637622641889,0.3578229149954151,0.35715942047447646,0.3527356222130888
esa_concept__S=identity,0.18725498765718748,0.2695019765512817,0.31328055881672906,0.3306951658745958,0.34320562140547795,0.3490780821331047,0.35316818621856755,0.35259997523743675,0.3496911752826548,0.34125741617509087
esa_concept__S=feature_cosine,0.16559528115950367,0.2535055235273089,0.2975827639297797,0.32647278866531354,0.3465629870954143,0.3494203050690639,0.351556779051877,0.3449556247657043,0.34519201727177334,0.344339981421059
