combination,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10
unigram_tfidf__S=identity,0.10945123766374604,0.1731044093297358,0.21889523781860365,0.2438491599292754,0.26112372610384166,0.2756141566367559,0.2857167637712959,0.29691719751558915,0.3059147124326067,0.3108009885022162
unigram_tfidf__S=tfidf,0.10383048804299645,0.16280174214636692,0.20096563973510118,0.22831167712547856,0.2495307880707197,0.26326570028619306,0.27524323815305773,0.2833532298865659,0.2940265593006361,0.3010754255740639
unigram_tfidf__S=lsa,0.09679607935160045,0.16216462624306827,0.19943230029531112,0.22628001394694625,0.2466891610380543,0.26311221505396365,0.2777413510252049,0.2859482403204563,0.29546601328462324,0.3024990410411805
unigram_tfidf__S=esa,0.10274418935143459,0.16548674314277143,0.2055178311542517,0.2358846858863024,0.2545616682648535,0.27131358063335714,0.2833761421478843,0.29327736515327385,0.30116031928459414,0.30568848062942217
unigram_tfidf__S=wordnet,0.09379932167849674,0.15029282329975893,0.18947994573987129,0.2112910079528942,0.2257963562069241,0.2360238986882678,0.2431262662346129,0.24946073818685865,0.25634101977084395,0.26161947464929886
unigram_tfidf__S=word2vec,0.09766864505749952,0.1569778919533928,0.1965698188838818,0.2228185417659381,0.24462284251549013,0.25792500434542964,0.27137068476730064,0.2796661128328137,0.2869795637650011,0.29356018329447103
bigram_tfidf__S=identity,0.1059975877197755,0.17193621661233677,0.21458990328743432,0.2408376420141622,0.2570030901462769,0.27178481650137504,0.28283809063672205,0.28809760423371006,0.2942707215709398,0.29963284844189036
bigram_tfidf__S=tfidf,0.09117045805931255,0.15059381745853395,0.1855866363489937,0.214368882525425,0.22841958174258095,0.23990503147803063,0.25016015264780617,0.2583153416478227,0.2664003712796933,0.27036255502187706
bigram_tfidf__S=lsa,0.08018940824492936,0.140757350374275,0.1793553194833554,0.20090691451454806,0.2221985130249702,0.23387302729483034,0.24477446661199465,0.2535080441217566,0.2603747507311533,0.2661365808763168
bigram_tfidf__S=esa,0.08989206978092427,0.15051832277777616,0.18857636882275047,0.2133745910135014,0.2309736478102593,0.24412522234384282,0.25158640277561145,0.2608341595367303,0.26856951302159643,0.2736875253350787
bigram_tfidf__S=word2vec,0.10711204733423511,0.1703791889994267,0.21173728720719828,0.24200852550049534,0.26401888159820786,0.27921466240318404,0.2911434026710047,0.2992989194115449,0.30741774151577,0.31378785811692106
local_context_bow__S=identity,0.11913017809036447,0.18646520389770282,0.2345533508359358,0.25695948982253447,0.2775935057230072,0.29349213094189375,0.305548883809144,0.31557180224872894,0.32389062669092494,0.33062034635397797
local_context_bow__S=tfidf,0.11604904934256906,0.180922306249542,0.22872343141468504,0.2536744303975468,0.272546347522067,0.28730576039645794,0.2988909422091355,0.30872314570252296,0.31802256883272495,0.32271364522334167
local_context_bow__S=lsa,0.1104431614033478,0.18212037632235842,0.22741173531564396,0.25690938028768023,0.2777853958219131,0.2904447301415471,0.3027304100700841,0.3148167266650436,0.3220049445301453,0.3290369214931567
lsa_latent__S=identity,0.12527053337777855,0.19396549151857856,0.24563629110188678,0.2775865824409035,0.303475638855653,0.3205515482348997,0.3354341721987562,0.3466519615568965,0.3574816451637529,0.36651432229930364
lsa_latent__S=feature_cosine,0.12527053337777855,0.19396549151857856,0.24563629110188678,0.2775865824409035,0.303475638855653,0.3205515482348997,0.3354341721987562,0.3466519615568965,0.3574816451637529,0.36651432229930364
esa_concept__S=identity,0.11362713718265827,0.18243139034316574,0.22881613251247682,0.25648322123348705,0.28080882542696783,0.2986014634881787,0.31446190950276026,0.32628219071238657,0.33700947473341253,0.3431486913628252
esa_concept__S=feature_cosine,0.09981586327138438,0.1702487743523455,0.21542032330690103,0.2482870135229568,0.2744445489652522,0.29170595592780874,0.3068346236145043,0.31744351472339544,0.3291212978456231,0.33933701649904285
