combination,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10
unigram_tfidf__S=identity,0.64,0.7022222222222222,0.7244444444444444,0.7344444444444445,0.7388888888888889,0.7403703703703702,0.7403703703703702,0.7409259259259259,0.7409259259259259,0.7418148148148147
unigram_tfidf__S=tfidf,0.6177777777777778,0.6622222222222223,0.6814814814814816,0.695925925925926,0.7012592592592595,0.7049629629629631,0.7081375661375662,0.7098042328042329,0.7102980599647267,0.7107425044091711
unigram_tfidf__S=lsa,0.5733333333333334,0.64,0.6562962962962963,0.6674074074074073,0.6771851851851851,0.6794074074074072,0.6819470899470896,0.6825026455026452,0.6839841269841267,0.6848730158730155
unigram_tfidf__S=esa,0.6088888888888889,0.6733333333333333,0.6925925925925925,0.7048148148148149,0.710148148148148,0.7123703703703702,0.7142751322751322,0.7159417989417989,0.7169294532627866,0.7169294532627866
unigram_tfidf__S=wordnet,0.5644444444444444,0.64,0.6637037037037038,0.6714814814814816,0.6759259259259258,0.6774074074074073,0.6793121693121692,0.6793121693121692,0.6798059964726632,0.680694885361552
unigram_tfidf__S=word2vec,0.5822222222222222,0.6466666666666666,0.6629629629629631,0.6696296296296297,0.6776296296296298,0.6805925925925926,0.6844021164021163,0.6866243386243386,0.6881058201058201,0.6881058201058201
bigram_tfidf__S=identity,0.6355555555555555,0.6866666666666666,0.7044444444444443,0.711111111111111,0.7146666666666666,0.7198518518518519,0.7223915343915344,0.7223915343915344,0.7228853615520282,0.7228853615520282
bigram_tfidf__S=tfidf,0.5688888888888889,0.6222222222222222,0.6474074074074073,0.6551851851851851,0.6587407407407407,0.6617037037037037,0.6661481481481482,0.6678148148148148,0.6683086419753085,0.668753086419753
bigram_tfidf__S=lsa,0.5155555555555555,0.5711111111111111,0.5992592592592592,0.6137037037037036,0.6163703703703703,0.6222962962962963,0.62610582010582,0.6277724867724868,0.6287601410934744,0.6287601410934744
bigram_tfidf__S=esa,0.5511111111111111,0.6177777777777778,0.6370370370370372,0.6459259259259261,0.6512592592592595,0.6542222222222224,0.6567619047619049,0.6573174603174604,0.6583051146384481,0.6587495590828926
bigram_tfidf__S=word2vec,0.6355555555555555,0.6866666666666666,0.6985185185185184,0.7118518518518518,0.7162962962962962,0.72,0.72,0.7227777777777777,0.7237654320987654,0.7250987654320987
local_context_bow__S=identity,0.6977777777777778,0.7577777777777778,0.768148148148148,0.7737037037037037,0.7772592592592592,0.7779999999999999,0.7818095238095237,0.7818095238095237,0.7823033509700176,0.7831922398589064
local_context_bow__S=tfidf,0.6844444444444444,0.7333333333333333,0.7466666666666667,0.7511111111111111,0.7599999999999999,0.7614814814814814,0.7646560846560845,0.7663227513227512,0.7663227513227512,0.7663227513227512
local_context_bow__S=lsa,0.6622222222222223,0.7155555555555555,0.7407407407407408,0.7451851851851853,0.7505185185185186,0.7512592592592593,0.7537989417989417,0.7549100529100529,0.7549100529100529,0.7549100529100529
lsa_latent__S=identity,0.7288888888888889,0.7688888888888888,0.7837037037037036,0.7848148148148147,0.7857037037037038,0.7894074074074074,0.7925820105820105,0.7936931216931217,0.7951746031746032,0.7951746031746032
lsa_latent__S=feature_cosine,0.7288888888888889,0.7688888888888888,0.7837037037037036,0.7848148148148147,0.7857037037037038,0.7894074074074074,0.7925820105820105,0.7936931216931217,0.7951746031746032,0.7951746031746032
esa_concept__S=identity,0.6844444444444444,0.7333333333333333,0.7466666666666668,0.7533333333333334,0.756888888888889,0.7605925925925927,0.761862433862434,0.7635291005291007,0.7640229276895945,0.7653562610229279
esa_concept__S=feature_cosine,0.6222222222222222,0.6688888888888889,0.6881481481481482,0.6981481481481482,0.7079259259259261,0.7094074074074076,0.7113121693121695,0.7113121693121695,0.712299823633157,0.7131887125220459
