combination,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10
unigram_tfidf__S=identity,0.5344444444444445,0.4938399217106973,0.4765800369034828,0.46650185393341714,0.4578894881722242,0.458566432111867,0.4569908795025434,0.4624131784947232,0.4664216600496837,0.4695961025132256
unigram_tfidf__S=tfidf,0.5044444444444445,0.45237998563095244,0.43419181102369236,0.4327927607013432,0.4305440840586588,0.4286827823544189,0.4344799085994138,0.43704662057737864,0.44512391789198075,0.44811949258277606
unigram_tfidf__S=lsa,0.45666666666666667,0.4447591162305919,0.42504250292094875,0.4209794339679988,0.42067886127722476,0.4246533967432471,0.4306908534371051,0.43267796512819257,0.44018649296042295,0.44461084162776887
unigram_tfidf__S=esa,0.4988888888888889,0.4651708008361872,0.4438238469673822,0.4423396495057817,0.4395448698813625,0.4424036345818686,0.4457880361131451,0.44827364754242266,0.4509525935460546,0.4531397429434091
unigram_tfidf__S=wordnet,0.4722222222222222,0.4484641335668794,0.4309067764924822,0.41851064663399457,0.4101408623032997,0.40664007604941854,0.40601692650015714,0.405623483970623,0.40948004304480157,0.4137811580120084
unigram_tfidf__S=word2vec,0.4577777777777778,0.43846546065773945,0.4251652487490107,0.41890693297869447,0.42197341548228035,0.42231329810126805,0.42703594598919487,0.42889145498252296,0.43526467267305613,0.4391084569287456
bigram_tfidf__S=identity,0.5033333333333333,0.48245434261115455,0.4614056981897601,0.453506276833031,0.4429290549444255,0.4428877393938174,0.4439402948540616,0.44283275272440226,0.4460131799502279,0.4487181141746949
bigram_tfidf__S=tfidf,0.43666666666666665,0.42794453388399556,0.4106234754666643,0.4095736161638572,0.40174730942554165,0.3982482739377218,0.40161848917272147,0.40513161157219063,0.40975403151702317,0.4119727957587814
bigram_tfidf__S=lsa,0.3877777777777778,0.3819758767578722,0.38219705516054836,0.3768863269423313,0.3764853072877373,0.379360578891871,0.38398907658052983,0.38891134023493407,0.39192009836526615,0.3961050629786333
bigram_tfidf__S=esa,0.43555555555555553,0.427842732032038,0.41540330016740273,0.40914326557360514,0.40232107647298987,0.40048348417319074,0.4005100044553695,0.40379130168732474,0.40874245402069115,0.41213407362959137
bigram_tfidf__S=word2vec,0.49777777777777776,0.4751592033280993,0.4563719846320012,0.45272084505998683,0.4505795328034498,0.4521936506452288,0.44960855808800626,0.4524658744017973,0.45625103501382125,0.46081791907049985
local_context_bow__S=identity,0.5777777777777777,0.5354633441430865,0.5073743853228787,0.4866673419293462,0.48137574541994527,0.4788048858145912,0.482773614476321,0.48671639389243904,0.4917268306084218,0.4949890634065992
local_context_bow__S=tfidf,0.5466666666666666,0.5065906604160118,0.49323058293945654,0.47503226711775687,0.467182121529544,0.46342225643687424,0.46731306884365337,0.4726785500703147,0.4789258870545251,0.4801050003247856
local_context_bow__S=lsa,0.5288888888888889,0.5069509855056782,0.4830210789038925,0.4753209597547775,0.46967485844004003,0.467644977415742,0.4706269613109399,0.4764096470719097,0.4780570650078429,0.4821636203187172
lsa_latent__S=identity,0.5766666666666667,0.5367740620903836,0.5163818839372272,0.5055634160936936,0.501675057249666,0.5007374221472227,0.5059430750995477,0.5074092421249441,0.5127008278175064,0.5169476396210516
lsa_latent__S=feature_cosine,0.5766666666666667,0.5367740620903836,0.5163818839372272,0.5055634160936936,0.501675057249666,0.5007374221472227,0.5059430750995477,0.5074092421249441,0.5127008278175064,0.5169476396210516
esa_concept__S=identity,0.5522222222222222,0.5118622585997928,0.4927849932661945,0.48277535948301376,0.4800265457455471,0.4808557102778671,0.4846357728700238,0.49045213883410693,0.4958366686421103,0.4979578817772783
esa_concept__S=feature_cosine,0.47888888888888886,0.46401556754121936,0.453969398719606,0.45275122960689546,0.4576001012403548,0.4582792460153494,0.45992520609157933,0.4610389976751788,0.46742422041152853,0.47420063708582166
