combination,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10
unigram_tfidf__S=identity,0.64,0.5488888888888889,0.5022222222222221,0.45111111111111113,0.40266666666666673,0.3718518518518518,0.3403174603174605,0.3194444444444444,0.29925925925925956,0.28088888888888897
unigram_tfidf__S=tfidf,0.6177777777777778,0.5177777777777778,0.4607407407407407,0.4255555555555556,0.39644444444444443,0.3637037037037037,0.3384126984126988,0.31444444444444447,0.2987654320987656,0.28177777777777785
unigram_tfidf__S=lsa,0.5733333333333334,0.5266666666666666,0.4622222222222224,0.42333333333333334,0.3928888888888892,0.3674074074074073,0.34476190476190516,0.31777777777777777,0.3027160493827162,0.2866666666666667
unigram_tfidf__S=esa,0.6088888888888889,0.5266666666666666,0.47259259259259256,0.43333333333333335,0.3982222222222223,0.3725925925925924,0.34793650793650815,0.3238888888888889,0.3027160493827164,0.2826666666666667
unigram_tfidf__S=wordnet,0.5644444444444444,0.4955555555555556,0.44592592592592595,0.39111111111111113,0.35377777777777814,0.32370370370370355,0.2958730158730161,0.2727777777777778,0.2553086419753088,0.24133333333333337
unigram_tfidf__S=word2vec,0.5822222222222222,0.5044444444444445,0.4518518518518519,0.4077777777777778,0.3831111111111111,0.3518518518518518,0.3301587301587303,0.3088888888888889,0.29037037037037067,0.27466666666666667
bigram_tfidf__S=identity,0.6355555555555555,0.5488888888888889,0.4874074074074075,0.43777777777777777,0.3884444444444447,0.3607407407407406,0.3339682539682544,0.3061111111111111,0.28641975308642,0.268888888888889
bigram_tfidf__S=tfidf,0.5688888888888889,0.49777777777777776,0.44444444444444453,0.4122222222222222,0.36711111111111144,0.33259259259259244,0.3104761904761907,0.28888888888888886,0.272592592592593,0.2542222222222223
bigram_tfidf__S=lsa,0.5155555555555555,0.46444444444444444,0.43259259259259264,0.3877777777777778,0.36177777777777825,0.33481481481481473,0.3130158730158733,0.29333333333333333,0.275061728395062,0.25866666666666677
bigram_tfidf__S=esa,0.5511111111111111,0.5022222222222222,0.45037037037037037,0.40444444444444444,0.3653333333333338,0.33555555555555544,0.30666666666666687,0.28833333333333333,0.27259259259259283,0.25555555555555576
bigram_tfidf__S=word2vec,0.6355555555555555,0.5466666666666666,0.4844444444444445,0.44333333333333336,0.4080000000000003,0.37481481481481477,0.3428571428571432,0.3194444444444444,0.3007407407407411,0.2840000000000001
local_context_bow__S=identity,0.6977777777777778,0.6,0.5333333333333332,0.46111111111111114,0.4186666666666668,0.3837037037037039,0.3561904761904762,0.33166666666666667,0.31160493827160507,0.292888888888889
local_context_bow__S=tfidf,0.6844444444444444,0.58,0.5244444444444446,0.4622222222222222,0.41777777777777797,0.38000000000000017,0.3555555555555557,0.3333333333333333,0.31506172839506186,0.2924444444444444
local_context_bow__S=lsa,0.6622222222222223,0.5844444444444444,0.5170370370370367,0.4666666666666667,0.4248888888888892,0.38518518518518535,0.356825396825397,0.33944444444444444,0.3145679012345682,0.29600000000000004
lsa_latent__S=identity,0.7288888888888889,0.6155555555555555,0.5437037037037036,0.48777777777777775,0.4462222222222225,0.41185185185185175,0.38412698412698465,0.35833333333333334,0.3402469135802472,0.3226666666666666
lsa_latent__S=feature_cosine,0.7288888888888889,0.6155555555555555,0.5437037037037036,0.48777777777777775,0.4462222222222225,0.41185185185185175,0.38412698412698465,0.35833333333333334,0.3402469135802472,0.3226666666666666
esa_concept__S=identity,0.6844444444444444,0.5822222222222222,0.5214814814814815,0.4633333333333333,0.43022222222222245,0.40074074074074095,0.37714285714285734,0.3561111111111111,0.33530864197530896,0.3133333333333332
esa_concept__S=feature_cosine,0.6222222222222222,0.5555555555555556,0.5007407407407406,0.4666666666666667,0.4382222222222224,0.40444444444444444,0.3796825396825399,0.34944444444444445,0.3323456790123461,0.3177777777777776
