combination,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10
unigram_tfidf__S=identity,0.10945123766374604,0.18303001036937197,0.24216319874961922,0.28052321178354434,0.30810708470075066,0.33471822845895316,0.354244328212504,0.3811124454753579,0.399803043198072,0.41344049833552704
unigram_tfidf__S=tfidf,0.10383048804299645,0.17054860022655838,0.21984718987220683,0.26205562550749567,0.2972611960215286,0.32127544104828204,0.34830213172669694,0.36580588858597507,0.39089455300797266,0.40745859780008775
unigram_tfidf__S=lsa,0.09679607935160045,0.17314264949695357,0.2203937030081936,0.26005618366479194,0.29662963113235713,0.32654624974775875,0.3548362044324504,0.3741139600952635,0.39889009526613534,0.41579663498640046
unigram_tfidf__S=esa,0.10274418935143459,0.17527738768341591,0.22581423290065342,0.27305631978979905,0.3041696761502143,0.33325064665803794,0.35862432731089383,0.3801439373305037,0.39694566827929356,0.4096591214927467
unigram_tfidf__S=wordnet,0.09379932167849674,0.16283081811845554,0.21884848649631047,0.2525216299831794,0.27682135314835227,0.295975152630222,0.31255650395863227,0.3270184661193774,0.3455267417943196,0.36043892837317276
unigram_tfidf__S=word2vec,0.09766864505749952,0.16760070560206855,0.219424865320346,0.257776944105758,0.2944500737253487,0.3195468349887768,0.34689819350680196,0.3636437813745776,0.3832174687619904,0.39959857786149044
bigram_tfidf__S=identity,0.1059975877197755,0.18085455572320458,0.23533187906597758,0.2731992925655074,0.2977910834906317,0.3276749170261894,0.3503382172698819,0.362256328220109,0.3764957333445714,0.38987068736658426
bigram_tfidf__S=tfidf,0.09117045805931255,0.1596615719688172,0.20748775717479692,0.2518027570023051,0.2761648537912551,0.29928125590765725,0.32170103196922895,0.33944311342970135,0.3614546407549541,0.37274192630890624
bigram_tfidf__S=lsa,0.08018940824492936,0.15099632744658537,0.2055324505827087,0.23808938262469817,0.27404884966455745,0.2985164055779552,0.32565436458136393,0.34557639526358114,0.3606563130715691,0.3752651178470404
bigram_tfidf__S=esa,0.08989206978092427,0.16085495655693863,0.21254065538969652,0.25007343874087057,0.2809801025325919,0.3048555784498636,0.31946069120203524,0.3381018599949281,0.3582332941877658,0.3724447000783467
bigram_tfidf__S=word2vec,0.10711204733423511,0.17760898517175167,0.23038020523708944,0.2756480725186822,0.31195077853977904,0.33904035201441,0.35903051872296754,0.3772512098091082,0.3954940169656408,0.4133061641628455
local_context_bow__S=identity,0.11913017809036447,0.19540847758117252,0.2536648121459695,0.28670429990384794,0.32114484910458374,0.3476039782107716,0.3710953631904133,0.39192874585712917,0.4132493586627995,0.4315663071464148
local_context_bow__S=tfidf,0.11604904934256906,0.18756495463238637,0.2479093122852063,0.2807805169701366,0.3136270266820959,0.33863663028521934,0.36326680467558015,0.3862829590864713,0.40903884772741733,0.42014445331808065
local_context_bow__S=lsa,0.1104431614033478,0.19200656420854634,0.247644618868789,0.2896379447275644,0.3217882274047002,0.3447456200608757,0.36924048938907833,0.393056514227291,0.40757818646735394,0.4262817570559821
lsa_latent__S=identity,0.12527053337777855,0.19938444293752997,0.2613717198706489,0.3059987354113898,0.34215221593032014,0.3710882616461601,0.3991493011875917,0.4198819859816798,0.4446254711716262,0.46414225324013253
lsa_latent__S=feature_cosine,0.12527053337777855,0.19938444293752997,0.2613717198706489,0.3059987354113898,0.34215221593032014,0.3710882616461601,0.3991493011875917,0.4198819859816798,0.4446254711716262,0.46414225324013253
esa_concept__S=identity,0.11362713718265827,0.18954249039679455,0.2471632704777611,0.2883857614943699,0.32448483553990515,0.35660941240506067,0.38675997561702735,0.40999594239945486,0.43174934587124913,0.44557579901142785
esa_concept__S=feature_cosine,0.09981586327138438,0.1772376047003712,0.23310446246134675,0.28043211896291503,0.32509935609560203,0.35245227733358075,0.3790139769888002,0.39813732277881253,0.4221932791681023,0.4450491653423794
